Código de infração;Infração;Responsável;Valor da multa;Órgão Autuador;Artigos do CTB;Pontos;Gravidade
58512;Deixar de deslocar com antecedencia veiculo para faixa mais a direita quando for manobrar;Condutor;130.16;Municipal/Rodoviario;197;4.0;Media
58600;Deixar de dar passagem pela esquerda quando solicitado;Condutor;130.16;Municipal/Rodoviario;198;4.0;Media
58780;Ultrapassar pela direita, salvo quando veiculo da frente der sinal para entrar esquerda;Condutor;130.16;Municipal/Rodoviario;199;4.0;Media
58940;Deixar de guardar a distancia lateral de 1,50m ao passar/ultrapassar bicicleta;Condutor;130.16;Municipal/Rodoviario;201;4.0;Media
61900;Entrar/sair area lindeira sem precaucao com a seguranca de pedestres e veiculos;Condutor;130.16;Municipal/Rodoviario;216;4.0;Media
62030;Entrar/sair de fila de veiculos estacionados sem dar preferencia a pedestres/veiculos;Condutor;130.16;Municipal/Rodoviario;217;4.0;Media
62540;Transitar em velocidade inferior a metade da maxima da via, salvo faixa direita;Condutor;130.16;Municipal/Rodoviario;219;4.0;Media
64080;Portar no veiculo placas de identificacao em desacordo com especificacao/modelo Contran;Proprietario;130.16;Estadual/Rodoviario;221;4.0;Media
64240;Deixar de manter ligado em emergencia o sistema iluminacao vermelha intermitente ainda que parado;Condutor;130.16;Municipal/Rodoviario;222;4.0;Media
64750;Deixar de retirar qualquer objeto utilizado para sinalizacao temporaria da via;Condutor;130.16;Municipal/Rodoviario;226;4.0;Media
65480;Usar no veiculo alarme/aparelho produz som perturbe sossego publico desacordo norma Contran;Condutor;130.16;Estadual/Rodoviario;229;4.0;Media
67500;Conduzir o veiculo de carga com falta inscricao da tara e demais previstas no CTB;Proprietario;130.16;Estadual/Rodoviario;230 * XXI;4.0;Media
68580;Transitar com o veiculo com lotacao excedente;Condutor;293.47;Estadual/Municipal/Rodoviario;231 * VII;7.0;Gravissima
68661;Transitar efetuando transporte remunerado de pessoas quando nao licenciado para esse fim;Proprietario;293.47;Estadual/Municipal/Rodoviario;231 * VIII;7.0;Gravissima
68662;Transitar efetuando transporte remunerado de bens quando nao licenciado para esse fim;Proprietario;293.47;Estadual/Municipal/Rodoviario;231 * VIII;7.0;Gravissima
68742;Transitar com o veiculo desengrenado em declive;Condutor;130.16;Municipal/Rodoviario;231 * IX;4.0;Media
69550;Rebocar outro veiculo com cabo flexivel ou corda;Condutor;130.16;Municipal/Rodoviario;236;4.0;Media
70562;Conduzir ciclo fazendo malabarismo ou equilibrando-se em uma roda;Condutor;293.47;Municipal/Rodoviario;244 * III c/c §1º;7.0;Gravissima
70992;Conduzir ciclo sem segurar o guidom com ambas as maos;Condutor;130.16;Municipal/Rodoviario;244 * VII c/c §1º;4.0;Media
71022;Conduzir ciclo transportando carga incompativel;Condutor;130.16;Municipal/Rodoviario;244 * VIII c/c §1º;4.0;Media
71100;Conduzir ciclo transportando passageiro fora da garupa/assento a ele destinado;Condutor;130.16;Municipal/Rodoviario;244 * §1º * a;4.0;Media
71291;Conduzir ciclo via de transito rapido ou Rodoviarioia salvo se houver acostamento/faixa propria;Condutor;130.16;Municipal/Rodoviario;244 * §1º * b;4.0;Media
71292;Conduzir ciclomotor em via de transito rapido;Condutor;130.16;Municipal/Rodoviario;244 * §2º;4.0;Media
71293;Conduzir ciclomotor em Rodoviarioia salvo se houver acostamento ou faixa propria;Condutor;130.16;Municipal/Rodoviario;244 * §2º;4.0;Media
71370;Conduzir ciclo transportando crianca sem condicao de cuidar propria seguranca;Condutor;130.16;Municipal/Rodoviario;244 * §1º * c;4.0;Media
72001;Deixar de conduzir pelo bordo pista em fila unica veiculo tracao/propulsao humana;Condutor;130.16;Municipal/Rodoviario;247;4.0;Media
72002;Deixar de conduzir pelo bordo da pista em fila unica veiculo de tracao animal;Condutor;130.16;Municipal/Rodoviario;247;4.0;Media
72261;Deixar de manter acesas a noite as luzes posicao qdo o veiculo estiver parado;Condutor;130.16;Municipal/Rodoviario;249;4.0;Media
72340;Em movimento, deixar de manter acesa a luz baixa durante a noite;Condutor;130.16;Municipal/Rodoviario;250 * I * a;4.0;Media
72500;Em movimento, deixar de manter acesa luz baixa veiculo transporte coletivo faixa/pista exclusiva;Condutor;130.16;Municipal/Rodoviario;250 * I * c;4.0;Media
72690;Em movimento de dia, deixar de manter acesa luz baixa de motocicletas/motonetas/ciclomotores;Condutor;130.16;Municipal/Rodoviario;250 * I * d;4.0;Media
72850;Em movimento, deixar de manter a placa traseira iluminada a noite;Condutor;130.16;Estadual/Rodoviario;250 * III;4.0;Media
72930;Utilizar o pisca-alerta, exceto em imobilizacoes ou situacoes de emergencia;Condutor;130.16;Municipal/Rodoviario;251 * I;4.0;Media
73070;Utilizar luz alta e baixa intermitente, exceto quando permitido pelo CTB;Condutor;130.16;Municipal/Rodoviario;251 * II;4.0;Media
73150;Dirigir o veiculo com o braco do lado de fora;Condutor;130.16;Municipal/Rodoviario;252 * I;4.0;Media
73231;Dirigir o veiculo transportando pessoas a sua esquerda ou entre os bracos e pernas;Condutor;130.16;Estadual/Rodoviario;252 * II;4.0;Media
73233;Dirigir o veiculo transportando volume a sua esquerda ou entre os bracos e pernas;Condutor;130.16;Estadual/Rodoviario;252 * II;4.0;Media
73310;Dirigir o veiculo com incapacidade fisica ou mental temporaria;Condutor;130.16;Estadual/Rodoviario;252 * III;4.0;Media
73400;Dirigir o veiculo usando calcado que nao se firme nos pes/comprometa utilizacao pedais (chinelo);Condutor;130.16;Estadual/Rodoviario;252 * IV;4.0;Media
73580;Dirigir o veiculo com apenas uma das maos, exceto quando permitido pelo CTB;Condutor;130.16;Estadual/Rodoviario;252 * V;4.0;Media
73661;Dirigir o veiculo utilizando-se de fones nos ouvidos conectados a aparelhagem sonora;Condutor;130.16;Estadual/Municipal/Rodoviario;252 * VI;4.0;Media
73662;Dirigir veiculo utilizando-se de telefone celular;Condutor;130.16;Estadual/Municipal/Rodoviario;252 * VI;4.0;Media
74471;Conduzir bicicleta em passeios onde nao seja permitida a circulacao desta;Condutor;130.16;Municipal/Rodoviario;255;4.0;Media
74472;Conduzir bicicleta de forma agressiva;Condutor;130.16;Municipal/Rodoviario;255;4.0;Media
